Jerusalem, Ramallah, 15
Jerusalem, Nablus, 50
Jerusalem, Tulkarm, 64
Jerusalem, Hebron, 28
Jerusalem, Jericho, 25
Jerusalem, Jenin, 78
Jerusalem, Qalqilya, 52
Jerusalem, Al-Bireh, 16
Jerusalem, Haifa, 116
Jerusalem, Tubas, 63
Jerusalem, Acre, 130
Jerusalem, Beitunia, 14
Jerusalem, Salfit, 35
Jerusalem, Bethlehem, 7
Ramallah, Nablus, 36
Ramallah, Tulkarm, 50
Ramallah, Hebron, 42
Ramallah, Jericho, 25
Ramallah, Jenin, 63
Ramallah, Qalqilya, 39
Ramallah, Al-Bireh, 2
Ramallah, Haifa, 101
Ramallah, Tubas, 49
Ramallah, Acre, 115
Ramallah, Beitunia, 3
Ramallah, Salfit, 21
Ramallah, Bethlehem, 22
Nablus, Tulkarm, 25
Nablus, Hebron, 78
Nablus, Jericho, 44
Nablus, Jenin, 27
Nablus, Qalqilya, 27
Nablus, Al-Bireh, 35
Nablus, Haifa, 69
Nablus, Tubas, 15
Nablus, Acre, 81
Nablus, Beitunia, 38
Nablus, Salfit, 17
Nablus, Bethlehem, 58
Tulkarm, Hebron, 88
Tulkarm, Jericho, 65
Tulkarm, Jenin, 30
Tulkarm, Qalqilya, 14
Tulkarm, Al-Bireh, 49
Tulkarm, Haifa, 53
Tulkarm, Tubas, 32
Tulkarm, Acre, 69
Tulkarm, Beitunia, 50
Tulkarm, Salfit, 30
Tulkarm, Bethlehem, 70
Hebron, Jericho, 50
Hebron, Jenin, 105
Hebron, Qalqilya, 75
Hebron, Al-Bireh, 44
Hebron, Haifa, 141
Hebron, Tubas, 91
Hebron, Acre, 156
Hebron, Beitunia, 40
Hebron, Salfit, 62
Hebron, Bethlehem, 22
Jericho, Jenin, 69
Jericho, Qalqilya, 59
Jericho, Al-Bireh, 23
Jericho, Haifa, 113
Jericho, Tubas, 52
Jericho, Acre, 124
Jericho, Beitunia, 28
Jericho, Salfit, 36
Jericho, Bethlehem, 30
Jenin, Qalqilya, 42
Jenin, Al-Bireh, 62
Jenin, Haifa, 46
Jenin, Tubas, 17
Jenin, Acre, 56
Jenin, Beitunia, 65
Jenin, Salfit, 44
Jenin, Bethlehem, 85
Qalqilya, Al-Bireh, 39
Qalqilya, Haifa, 66
Qalqilya, Tubas, 39
Qalqilya, Acre, 82
Qalqilya, Beitunia, 38
Qalqilya, Salfit, 22
Qalqilya, Bethlehem, 58
Al-Bireh, Haifa, 100
Al-Bireh, Tubas, 47
Al-Bireh, Acre, 114
Al-Bireh, Beitunia, 6
Al-Bireh, Salfit, 20
Al-Bireh, Bethlehem, 23
Haifa, Tubas, 63
Haifa, Acre, 18
Haifa, Beitunia, 102
Haifa, Salfit, 81
Haifa, Bethlehem, 123
Tubas, Acre, 73
Tubas, Beitunia, 52
Tubas, Salfit, 32
Tubas, Bethlehem, 70
Acre, Beitunia, 116
Acre, Salfit, 95
Acre, Bethlehem, 137
Beitunia, Salfit, 22
Beitunia, Bethlehem, 21
Salfit, Bethlehem, 42
